# Figura 6.14 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 5 — DeltaI
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
1.19,-0.0077
4.05,0.1468
7.39,0.3049
10.25,0.4630
15.03,0.4685
36.03,0.8046
37.47,0.8046
38.41,0.8065
39.37,0.8065
40.33,0.8083
41.27,0.8083
42.23,0.8102
43.19,0.8102
44.13,0.8120
45.09,0.8120
46.05,0.8138
47.02,0.8138
48.45,0.8156
49.39,0.8156
50.35,0.8174
51.31,0.8174
52.25,0.8192
53.21,0.8192
54.17,0.8211
57.03,0.6956
78.03,1.0609
83.29,0.8446
88.05,0.6338
91.39,0.5303
94.27,0.4303
97.13,0.3322
100.00,0.2358
127.19,0.2122
156.31,0.1014
159.17,0.0487
182.09,0.0578
185.43,0.0250
190.21,-0.0368
193.07,-0.0640
196.41,-0.0912
199.27,-0.1131
202.13,-0.1367
229.37,-0.1476
235.10,-0.1658
238.43,-0.1730
263.25,-0.1839
289.98,-0.1876
317.19,-0.1930
342.02,-0.2039
369.21,-0.2076
394.04,-0.2203
421.25,-0.2258
447.98,-0.2294
473.27,-0.2402
500.02,-0.2439
525.31,-0.2548
552.04,-0.2602
577.33,-0.2729
604.06,-0.2766
629.37,-0.2875
656.10,-0.2929
681.39,-0.3038
708.12,-0.3093
732.94,-0.3202
760.16,-0.3256
784.98,-0.3365
812.18,-0.3402
837.00,-0.3529
864.22,-0.3565
889.04,-0.3656
916.24,-0.3711
941.06,-0.3819
968.28,-0.3874
993.08,-0.3983
1017.91,-0.4093
1045.12,-0.4147
1069.95,-0.4274
1097.14,-0.4310
1121.97,-0.4437
1147.26,-0.4565
1174.01,-0.4619
1199.30,-0.4728
1226.03,-0.4783
1250.85,-0.4910
1276.14,-0.5019
1302.87,-0.5092
1328.18,-0.5201
1354.91,-0.5255
1380.20,-0.5383
1405.03,-0.5492
1432.24,-0.5564
1457.05,-0.5673
