# Figura 6.17 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 6 — DeltaT [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
17489.37,-0.1794
17489.37,-0.0845
17725.68,-0.0845
17725.68,-0.5076
17725.68,-0.0658
17725.68,-0.1665
17725.68,-0.0701
17962.00,-0.0701
17962.00,-0.1694
17962.00,-0.0758
17962.00,-0.1751
18198.31,-0.4975
18198.31,-0.0557
18198.31,-0.1565
18198.31,-0.0600
18434.62,-0.0600
18434.62,-0.1608
18434.62,-0.0629
18434.62,-0.4846
18434.62,-0.1996
18663.06,-0.1032
18663.06,-0.1061
18663.06,-0.0096
18663.06,-0.1090
18663.06,-0.0125
18899.37,-0.0125
18899.37,-0.4328
18899.37,-0.0571
18899.37,-0.1565
18899.37,-0.0600
19135.68,-0.0600
19135.68,-0.1608
19135.68,-0.0629
19371.99,-0.0629
19371.99,-0.4817
19372.00,-0.0960
19372.00,-0.1952
19371.99,0.0005
19608.31,0.0005
19608.31,-0.0989
19608.31,-0.0010
19608.31,-0.4183
19608.31,-0.2384
19836.74,-0.1406
19836.74,-0.0413
19836.74,-0.1406
19836.74,-0.0428
19836.74,-0.1420
20073.06,-0.0428
20073.06,-0.4601
20073.06,-0.0730
20309.37,-0.0730
20309.37,-0.1722
20309.37,-0.0730
20309.37,-0.1737
20309.37,-0.0730
20545.68,-0.0730
20545.68,-0.1737
20545.68,-0.0730
20545.68,-0.4889
20781.99,-0.2917
20781.99,-0.0917
20782.00,-0.1924
20781.99,-0.0917
20782.00,-0.1924
20781.99,-0.0917
21010.43,-0.0917
21010.43,-0.5062
21010.43,-0.0413
21246.74,-0.0413
21246.74,-0.1406
21246.74,-0.0399
21246.74,-0.4543
21246.74,-0.1608
21483.05,-0.0600
21483.06,-0.1608
21483.05,-0.0586
21483.06,-0.1579
21483.05,-0.0571
21719.37,-0.0571
21719.37,-0.1565
21719.37,-0.0557
21719.37,-0.1550
21955.68,-0.4673
21955.68,-0.0672
21955.68,-0.1665
21955.68,-0.0658
21955.68,-0.1651
21955.68,-0.0629
22184.12,-0.0629
22184.12,-0.4730
22184.12,-0.0701
22184.12,-0.1694
22184.12,-0.0658
22420.43,-0.0658
22420.43,-0.1665
22420.43,-0.0629
22420.43,-0.1637
22656.74,-0.4745
22656.74,-0.0672
22656.74,-0.1665
22656.74,-0.0629
22893.05,-0.0629
22893.05,-0.1637
22893.05,-0.0600
22893.05,-0.4687
22893.06,-0.1651
23129.37,-0.0614
23129.37,-0.1608
23129.37,-0.0571
23129.37,-0.1565
23129.37,-0.0528
23357.80,-0.0528
23357.80,-0.4615
23357.80,-0.0528
23357.80,-0.1521
23357.80,-0.0471
23594.12,-0.0471
23594.12,-0.1478
23594.12,-0.0428
23830.43,-0.0428
23830.43,-0.4485
23830.43,-0.0399
23830.43,-0.1406
23830.43,-0.0341
24066.74,-0.0341
24066.74,-0.1348
24066.74,-0.0284
24066.74,-0.4342
24066.74,-0.0269
24066.74,-0.1262
24303.06,-0.0212
24303.06,-0.4256
24303.06,-0.0168
24531.49,-0.0168
24531.49,-0.1162
24531.49,-0.0111
24531.49,-0.1104
24531.49,-0.0039
24767.80,-0.0039
24767.80,-0.4068
24767.80,-0.0010
24767.80,-0.1003
24767.80,0.0076
25004.12,0.0076
25004.12,-0.1924
25240.43,-0.0859
25240.43,-0.4874
25240.43,-0.1694
25476.74,-0.0614
25476.74,-0.1608
25476.74,-0.0528
25476.74,-0.1536
25476.74,-0.0456
25705.18,-0.0456
25705.18,-0.4457
25705.18,-0.0255
25705.18,-0.1248
25705.18,-0.0168
25941.49,-0.0168
25941.49,-0.1176
25941.49,-0.0082
25941.49,-0.4083
25941.49,-0.2111
26177.80,-0.1018
26177.80,0.0062
26177.80,-0.1924
26177.80,-0.0845
26414.12,-0.0845
26414.12,-0.4846
26414.12,-0.0500
26650.43,-0.0500
26650.43,-0.1507
26650.43,-0.0399
26650.43,-0.1406
26650.43,-0.0298
26878.87,-0.0298
26878.87,-0.4284
26878.87,-0.0039
26878.86,-0.1046
26878.87,0.0062
27115.18,0.0062
27115.18,-0.1924
27351.49,-0.4918
27351.49,-0.0500
27351.49,-0.1507
27351.49,-0.0399
27587.80,-0.0399
27587.80,-0.1392
27587.80,-0.0269
27587.80,-0.4241
27587.80,-0.2183
27824.12,-0.1090
27824.12,0.0033
27824.12,-0.1952
27824.12,-0.0845
28052.55,-0.0845
28052.55,-0.4802
28052.55,-0.0370
28288.87,-0.0370
28288.86,-0.1377
28288.87,-0.0255
28288.86,-0.1248
28288.87,-0.0125
28525.18,-0.0125
28525.18,-0.4068
28525.18,-0.0902
28761.49,-0.0902
28761.49,-0.1895
28761.49,-0.0773
28761.49,-0.1766
28761.49,-0.0643
28997.80,-0.0643
28997.80,-0.4572
28997.80,-0.0154
28997.80,-0.1147
28997.80,-0.0010
29226.24,-0.0010
29226.24,-0.3939
29226.24,-0.0773
29462.55,-0.0773
29462.55,-0.1766
29462.55,-0.0629
29462.55,-0.1637
29462.55,-0.0500
29698.87,-0.0500
29698.86,-0.1493
29698.87,-0.0341
29698.86,-0.4256
29935.18,-0.2140
29935.18,0.0148
29935.18,-0.1852
30171.49,-0.0701
30171.49,-0.4601
30171.49,-0.0096
30399.93,-0.0096
30399.93,-0.1090
30399.93,0.0048
30636.24,0.0048
30636.24,-0.4846
30636.24,-0.2571
30872.55,-0.1406
30872.55,-0.0255
30872.55,-0.1248
30872.55,-0.0096
30872.55,-0.3967
31108.86,-0.1895
31108.86,-0.0730
31108.86,-0.1737
31108.86,-0.0571
31345.18,-0.0571
31345.18,-0.1565
31345.18,-0.0399
31345.18,-0.1406
31345.18,-0.0240
31573.61,-0.0240
31573.61,-0.4097
31573.61,-0.0816
31573.61,-0.1809
31573.61,-0.0643
31809.93,-0.0643
31809.93,-0.1637
31809.93,-0.0471
31809.93,-0.1464
32046.24,-0.4328
32046.24,0.0206
32046.24,-0.0787
32282.55,-0.0787
32282.55,-0.1794
32282.55,-0.0614
32282.55,-0.4471
32518.86,-0.2240
32518.86,0.0119
32518.86,-0.0874
32747.30,-0.0874
32747.30,-0.1866
32747.30,-0.0686
32747.30,-0.1694
32983.61,-0.4529
32983.61,0.0090
32983.61,-0.0902
33219.92,-0.0902
33219.93,-0.1895
33219.92,-0.0715
33219.92,-0.4543
33219.93,-0.2269
33456.24,-0.1090
33456.24,0.0119
33456.24,-0.1881
33456.24,-0.0686
33692.55,-0.0686
33692.55,-0.4514
33692.55,0.0148
33920.99,0.0148
33920.99,-0.1838
33920.99,-0.0629
34157.30,-0.0629
34157.30,-0.4457
34157.30,0.0234
34157.30,-0.0758
34393.61,-0.0758
34393.61,-0.1766
34393.61,-0.0557
34629.92,-0.0557
34629.92,-0.4356
34629.92,-0.0888
34629.93,-0.1881
34629.92,-0.0672
34866.24,-0.0672
34866.24,-0.1665
34866.24,-0.0471
34866.24,-0.4256
34866.24,-0.2010
35094.67,-0.0787
35094.67,-0.1794
35094.67,-0.0571
35094.67,-0.1565
35330.99,-0.4356
35330.99,-0.0859
35330.99,-0.1866
35330.99,-0.0643
35567.30,-0.0643
35567.30,-0.1637
35567.30,-0.0413
35567.30,-0.4198
35567.30,-0.1938
35803.61,-0.0730
35803.61,-0.1722
35803.61,-0.0485
35803.61,-0.1478
36039.92,-0.0255
36039.92,-0.4025
36039.92,-0.0571
36268.36,-0.0571
36268.36,-0.1565
36268.36,-0.0341
36268.36,-0.1334
36268.36,-0.0096
36504.67,-0.0096
36504.67,-0.3852
36504.67,-0.0428
36504.67,-0.1420
36740.99,-0.0183
36740.99,-0.1176
36740.99,0.0062
36977.30,0.0062
36977.30,-0.4687
36977.30,-0.1032
37213.61,0.0220
37213.61,-0.1780
