# Figura 6.4 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 2 — DeltaI
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
2.04,0.0062
7.89,0.3146
10.81,0.4729
31.87,3.7854
36.55,3.5853
41.81,3.3770
46.48,3.1645
51.74,3.0271
76.31,2.9603
123.10,2.8520
168.14,2.6771
214.92,2.4478
237.72,2.3853
262.28,2.2520
285.72,2.1812
308.52,2.1187
333.08,1.9854
355.90,1.9270
381.04,1.7937
403.86,1.7353
429.00,1.6061
453.56,1.4771
478.70,1.3479
503.26,1.2146
526.08,1.1521
551.22,1.0271
576.38,0.8980
600.94,0.7729
626.09,0.6396
648.89,0.5855
671.71,0.5312
694.51,0.5063
717.32,0.4770
774.05,0.4770
775.22,0.4729
853.58,0.4729
854.76,0.4688
948.34,0.4688
949.50,0.4645
1012.08,0.4645
1015.00,0.3938
1229.06,0.3938
1230.22,0.3896
1264.73,0.3896
1267.66,0.3229
1434.34,0.3229
