# Figura 6.9 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 4 — Tmed [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
0.33,292.2422
12.20,292.2422
15.16,292.4420
21.10,292.4420
24.65,292.7418
30.59,292.7418
33.55,293.0421
38.31,293.0421
39.49,292.9422
42.47,293.2419
48.39,293.2419
51.37,293.5588
57.29,293.5588
60.27,293.7586
70.35,293.7586
73.31,294.0589
78.66,293.9585
83.41,293.9585
86.37,294.2587
91.72,294.1588
96.46,294.1588
99.43,294.4586
104.76,294.3587
109.52,294.3587
112.48,294.6589
117.82,294.5585
120.79,294.8588
125.54,294.6589
128.50,294.9582
133.85,294.8588
138.60,294.8588
141.56,295.0581
146.91,295.0581
149.87,295.2585
154.62,295.2585
159.95,295.1586
162.93,295.4583
167.67,295.3584
170.64,295.5582
175.97,295.5582
178.95,295.7586
183.69,295.7586
186.67,295.9584
192.00,295.8585
196.75,295.7586
199.71,296.0584
202.69,296.2582
208.02,296.1583
212.77,296.1583
215.73,296.3586
221.08,296.2582
224.04,296.4586
228.79,296.4586
231.75,296.6584
237.10,296.5585
240.06,296.7583
244.82,296.6584
247.78,296.9582
253.12,296.7583
256.12,296.9582
259.08,297.1751
263.83,297.0586
266.79,297.2750
272.14,297.2750
275.10,297.4749
279.85,297.3749
282.81,297.5753
288.16,297.4749
291.12,297.6752
295.87,297.5753
298.84,297.7751
304.18,297.7751
307.14,297.9750
311.90,297.8751
314.86,298.0749
320.20,297.9750
323.16,298.1753
327.92,298.0749
330.88,298.2753
333.84,298.2753
336.82,298.4751
342.16,298.3752
343.35,298.3752
346.31,298.5750
346.90,298.5750
348.09,298.4751
352.25,298.4751
355.21,298.6750
356.39,298.6750
356.99,298.5750
359.96,298.5750
362.92,298.7754
365.29,298.7754
365.88,298.6750
369.45,298.6750
372.42,298.8753
374.21,298.8753
375.39,298.7754
377.17,298.7754
378.35,298.6750
401.50,298.3752
424.05,298.1753
491.69,298.0749
558.76,298.0749
627.58,298.6750
697.02,299.6752
768.23,301.3920
839.44,302.7919
884.52,302.7919
907.08,302.8918
932.59,302.5921
1022.80,302.7919
1045.93,302.8918
1068.48,302.8918
1091.63,302.9918
1114.77,303.0922
1161.06,303.2920
1188.94,303.2920
1190.14,303.0922
1213.27,303.2920
1235.82,303.3920
1251.85,303.3920
1253.03,303.2920
1290.42,303.2920
1291.01,303.1921
1296.36,303.1921
1319.50,303.3920
1327.22,303.3920
1328.40,303.2920
1331.36,303.2920
1332.55,303.1921
1355.10,303.3920
1368.16,303.3920
1369.34,303.2920
1385.37,303.2920
1408.51,303.4919
1412.66,303.4919
1413.25,303.3920
1436.39,303.3920
1459.54,303.5918
