# Figura 6.10 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 4 — DeltaI
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
1.99,-0.0208
13.46,-0.0208
16.90,-0.0084
18.62,-0.0084
19.77,-0.0022
21.49,-0.0022
22.62,0.0040
25.49,0.0167
26.64,0.0229
28.92,0.0229
29.51,0.0291
30.66,0.0291
31.79,0.0353
34.66,0.0542
35.81,0.0542
36.38,0.0604
37.53,0.0604
38.68,0.0666
39.81,0.0666
40.40,0.0728
43.83,0.0917
44.40,0.0979
45.55,0.0979
46.70,0.1041
47.83,0.1041
48.42,0.1104
49.55,0.1104
52.42,0.1354
57.59,0.1541
58.72,0.1603
61.59,0.1854
66.74,0.2105
71.33,0.2291
74.77,0.2604
79.35,0.2790
84.52,0.3041
87.37,0.3416
92.55,0.3665
97.70,0.3916
100.57,0.4353
105.72,0.4604
110.31,0.4852
113.74,0.5292
118.33,0.5602
121.20,0.6104
126.35,0.6353
129.22,0.6916
134.37,0.7165
139.52,0.7478
142.39,0.8039
147.54,0.8352
150.41,0.8978
155.56,0.9291
160.15,0.9602
163.61,1.0228
168.17,1.0603
171.63,1.1226
176.19,1.1601
179.06,1.2290
184.23,1.2665
187.08,1.3353
192.26,1.3728
197.41,1.4103
200.28,1.4853
203.13,1.5601
208.30,1.5976
213.45,1.6351
216.32,1.7163
221.47,1.7539
224.34,1.8351
228.93,1.8788
232.36,1.9600
236.95,2.0038
240.38,2.0912
244.97,2.1287
248.40,2.2224
252.99,2.2599
255.86,2.3538
259.30,2.4474
263.88,2.4911
267.32,2.5850
271.90,2.6288
275.34,2.7224
279.92,2.7661
283.36,2.8662
287.95,2.9100
290.81,3.0098
295.99,3.0598
298.86,3.1599
304.01,3.2098
306.88,3.3099
312.03,3.3598
314.90,3.4662
320.07,3.5161
322.92,3.6224
328.09,3.6723
330.94,3.7849
332.09,3.7911
333.24,3.8035
333.81,3.8097
337.24,3.9222
341.83,3.9722
342.98,3.9848
345.85,4.0974
347.00,4.1098
348.13,4.1160
348.72,4.1284
349.85,4.1346
351.00,4.1473
352.16,4.1535
355.02,4.2722
356.16,4.2847
356.74,4.2909
357.87,4.3035
359.03,4.3098
360.18,4.3222
363.05,4.4409
364.18,4.4533
364.76,4.4598
365.91,4.4722
367.05,4.4784
367.63,4.4909
368.76,4.4973
371.63,4.6223
372.78,4.6347
373.94,4.6409
375.07,4.6536
375.65,4.6598
376.79,4.6722
377.94,4.6784
400.87,4.8347
423.78,4.9909
490.82,5.1347
557.29,5.1909
626.07,5.2160
695.41,5.0846
765.89,5.1596
836.95,5.3595
881.64,5.4721
904.57,5.4909
929.79,5.3722
974.48,5.3846
1019.17,5.4284
1042.11,5.4159
1065.02,5.3971
1087.95,5.3722
1111.43,5.3471
1134.36,5.3158
1157.27,5.2783
1157.86,5.2845
1158.99,5.2845
1160.14,5.2910
1161.29,5.2910
1161.86,5.2972
1163.01,5.3034
1164.16,5.3034
1165.30,5.3096
1165.88,5.3158
1167.03,5.3158
1168.16,5.3220
1169.32,5.3282
1169.88,5.3282
1171.03,5.3347
1172.18,5.3409
1172.75,5.3409
1173.90,5.3471
1175.05,5.3471
1176.19,5.3533
1176.77,5.3595
1177.90,5.3595
1179.05,5.3658
1180.21,5.3658
1180.77,5.3722
1181.92,5.3784
1183.07,5.3784
1184.21,5.3846
1184.79,5.3908
1185.92,5.3908
1208.86,5.3471
1231.77,5.2972
1232.92,5.3034
1234.07,5.3034
1234.64,5.3096
1235.79,5.3096
1236.94,5.3158
1238.07,5.3158
1238.66,5.3220
1239.81,5.3282
1240.94,5.3282
1242.09,5.3347
1242.66,5.3347
1243.81,5.3409
1244.96,5.3409
1246.09,5.3471
1246.68,5.3533
1247.83,5.3533
1248.96,5.3595
1250.11,5.3595
1250.68,5.3658
1251.83,5.3658
1252.98,5.3722
1253.55,5.3722
1255.85,5.3846
1256.98,5.3846
1257.57,5.3908
1258.70,5.3908
1259.85,5.3971
1261.00,5.3971
1261.57,5.4033
1262.72,5.4033
1263.87,5.4097
1265.01,5.4097
1265.59,5.4159
1266.74,5.4221
1267.87,5.4221
1269.03,5.4284
1269.59,5.4284
1270.74,5.4346
1271.89,5.4346
1273.03,5.4408
1273.61,5.4408
1274.76,5.4470
1275.90,5.4470
1277.05,5.4534
1277.61,5.4534
1278.76,5.4597
1279.92,5.4597
1280.48,5.4659
1281.63,5.4721
1282.79,5.4721
1283.92,5.4783
1284.50,5.4783
1285.63,5.4845
1286.79,5.4845
1287.94,5.4909
1288.50,5.4909
1289.66,5.4972
1290.81,5.4972
1291.94,5.5034
1314.87,5.4408
1315.44,5.4470
1316.59,5.4470
1317.74,5.4534
1319.46,5.4534
1320.61,5.4597
1321.74,5.4597
1322.89,5.4659
1323.46,5.4659
1324.61,5.4721
1325.76,5.4721
1326.91,5.4783
1327.48,5.4783
1350.39,5.4159
1351.54,5.4159
1352.69,5.4221
1353.85,5.4221
1354.41,5.4284
1355.56,5.4284
1356.69,5.4346
1357.85,5.4346
1358.41,5.4408
1359.56,5.4408
1360.72,5.4470
1362.43,5.4470
1363.58,5.4534
1364.72,5.4534
1365.30,5.4597
1366.43,5.4597
1367.58,5.4659
1368.74,5.4659
1369.30,5.4721
1370.45,5.4721
1371.61,5.4783
1373.32,5.4783
1374.47,5.4845
1375.61,5.4845
1376.76,5.4909
1377.32,5.4909
1378.48,5.4972
1379.63,5.4972
1380.78,5.5034
1403.69,5.4284
1404.26,5.4284
1405.41,5.4346
1406.56,5.4346
1407.71,5.4408
1408.28,5.4408
1409.43,5.4470
1411.71,5.4470
1412.28,5.4534
1413.43,5.4534
1414.58,5.4597
1416.30,5.4597
1417.45,5.4659
1418.58,5.4659
1419.17,5.4721
1420.32,5.4721
1421.45,5.4783
1423.17,5.4783
1424.32,5.4845
1425.47,5.4845
1426.62,5.4909
1428.34,5.4909
1429.47,5.4972
1430.62,5.4972
1431.19,5.5034
1454.12,5.4221
