# Figura 6.12 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 4 — Vagua [L]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
0.34,-16.0705
377.99,-16.0705
401.49,24.1081
424.37,64.2867
491.21,348.8850
558.67,655.3863
627.33,1016.7146
696.59,1396.1790
767.66,1793.9192
838.72,2118.6961
883.90,2195.4260
906.78,2250.1136
932.09,2301.1739
977.25,2407.0612
1022.43,2487.4184
1068.19,2596.7934
1091.07,2651.6205
1114.57,2706.3080
1137.45,2760.9955
1160.33,2819.4498
1189.24,2819.4498
1212.74,2874.1373
1235.62,2932.5916
1295.86,2932.5916
1318.74,2990.9063
1331.39,2990.9063
1354.87,3045.7334
1385.00,3045.7334
1407.88,3104.0481
1435.58,3104.0481
1459.06,3162.5024
