# Figura 6.11 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 4 — Pot [pc]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
0.91,5.1504
10.38,5.1504
10.95,5.3974
13.33,5.6443
16.28,6.1430
17.47,6.2665
18.07,6.5135
19.24,6.6369
20.43,6.7652
22.21,7.1356
25.16,7.5108
26.94,7.8812
28.11,8.0047
29.30,8.1282
29.90,8.3799
31.09,8.5034
34.04,8.8738
35.23,9.1255
36.39,9.2490
36.99,9.3725
38.18,9.4960
39.37,9.7429
39.94,9.8712
42.91,10.3651
44.08,10.4886
45.27,10.6168
47.05,10.9872
48.24,11.1107
49.41,11.2342
52.38,11.7329
57.10,12.4785
58.29,12.6020
61.24,13.1007
65.98,13.8463
71.31,14.5919
74.26,15.0858
78.99,15.8315
84.32,16.5771
87.28,17.0758
92.01,17.8214
97.34,18.5670
100.29,19.0609
105.03,19.8066
110.36,20.5522
113.31,21.0509
118.05,21.7965
121.00,22.2904
126.33,23.0361
129.28,23.5347
134.02,24.2804
139.35,25.0260
142.30,25.5199
147.03,26.2655
149.98,26.7642
155.31,27.5098
160.05,28.2555
163.00,28.7541
168.33,29.4998
171.28,29.9937
176.02,30.7393
178.97,31.2380
184.30,31.8601
187.27,32.3541
191.99,33.0997
197.32,33.9688
200.27,34.3440
203.24,34.8379
207.98,35.5835
213.29,36.3292
216.26,36.8278
220.98,37.5687
223.95,38.0674
229.28,38.8130
232.23,39.3069
236.97,40.0526
239.92,40.5513
245.25,41.2969
248.20,41.7956
252.93,42.5364
255.91,43.0351
258.88,43.4103
264.19,44.1559
267.16,44.6498
271.90,45.3955
274.85,45.8941
280.18,46.6398
283.13,47.1337
287.87,47.8793
290.82,48.3780
296.15,49.1236
299.10,49.6175
303.84,50.3632
306.79,50.8618
312.12,51.6075
315.07,51.9779
319.81,52.7235
322.78,53.2222
328.09,53.9678
331.06,54.4665
332.23,54.7135
332.82,54.8370
334.01,54.9604
336.96,55.4591
341.70,56.2047
342.89,56.3282
345.84,56.8269
347.03,56.9504
348.20,57.1973
348.79,57.3208
349.98,57.4443
351.17,57.5725
351.76,57.8195
354.72,58.1899
355.91,58.3182
357.07,58.5651
357.67,58.6886
360.05,58.9356
363.00,59.4342
364.19,59.5577
364.78,59.8047
365.95,59.9329
367.14,60.0564
368.92,60.4268
371.88,60.8020
373.06,61.0490
373.64,61.1724
376.02,61.4194
377.21,61.6711
377.78,61.7946
400.86,65.0241
423.94,68.5053
490.80,78.1937
557.65,88.6278
626.85,99.1901
695.49,99.9310
1020.29,99.9310
1043.35,100.0592
1456.30,100.0592
