# Figura 6.7 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 3 — DeltaI
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
0.84,-0.0231
3.75,0.1277
6.65,0.2850
10.13,0.4423
31.00,4.9713
37.96,4.8456
44.91,4.7135
50.13,4.6128
54.77,4.5122
59.98,4.4429
84.91,4.4493
131.87,4.4493
177.09,4.4052
224.04,4.3108
271.00,4.1850
317.98,4.0404
364.94,3.9020
458.85,3.6377
505.81,3.5309
552.76,3.4176
599.72,3.3232
646.67,3.2226
693.63,3.1282
740.59,3.0340
765.52,2.9647
812.47,2.8767
837.99,2.8074
884.95,2.7195
909.88,2.6564
956.83,2.5684
1003.79,2.4867
1028.72,2.4238
1075.67,2.3419
1100.60,2.2790
1147.56,2.1973
1150.44,2.1595
1173.63,2.1344
1196.82,2.1217
1219.44,2.1093
1231.61,2.1093
1232.78,2.1029
1288.42,2.1029
1289.59,2.0966
1353.35,2.0966
1354.52,2.0904
1425.81,2.0904
1426.39,2.0840
1439.72,2.0840
