# Figura 6.6 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 3 — Tmed [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
0.94,302.9996
3.95,303.2917
6.94,303.4960
9.93,303.8025
30.89,299.2028
38.07,298.0056
44.65,296.8956
50.04,296.0054
54.82,295.0998
59.61,294.5012
84.75,294.1070
132.05,293.6106
176.95,293.8005
224.25,293.6983
270.97,293.6106
318.27,293.6983
364.97,293.9026
412.25,293.9026
459.55,294.0048
506.25,294.0048
553.53,294.1070
647.53,294.1070
694.82,294.2092
741.52,294.3113
766.67,294.1070
813.96,294.2092
839.11,294.2092
885.81,294.3113
910.95,294.1070
958.25,294.2092
1004.93,294.3113
1030.08,294.1070
1077.37,294.2092
1101.92,294.2092
1149.22,294.3113
1152.21,294.0048
1175.56,294.1070
1221.06,294.3113
1229.44,294.3113
1230.63,294.3991
1279.13,294.3991
1280.32,294.5012
1281.52,294.3991
1331.21,294.3991
1332.41,294.5012
1387.48,294.5012
1388.68,294.6034
1408.44,294.6034
1409.64,294.5012
1441.36,294.5012
