# Figura 6.1 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 1 — Tmed [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
-0.30,303.0007
2.72,303.3008
5.76,303.5009
8.78,303.7989
123.78,303.7989
128.62,303.6988
248.50,303.6988
253.95,303.6009
373.19,303.6009
378.63,303.5009
501.50,303.5009
502.11,303.4008
627.39,303.4008
628.01,303.3008
752.70,303.3008
753.91,303.2008
878.60,303.2008
879.81,303.1007
1004.48,303.1007
1005.69,303.0007
1130.38,303.0007
1131.59,302.9006
1256.28,302.9006
1257.49,302.8006
1280.50,302.9006
1303.50,303.0007
1393.08,303.0007
1394.29,302.9006
1437.26,302.9006
