# Figura 6.13 da dissertação de Marcos A. G. da Silva Filho (COPPE/UFRJ, 2023)
# cenário 5 — Tmed [C]
# série "Simulação"; vértices extraídos do gráfico vetorial, NÃO a saída numérica original
t_min,valor
1.21,302.9917
4.07,303.2964
6.92,303.4993
10.25,303.8034
15.02,303.8034
35.96,302.9917
37.88,302.9917
38.81,302.8905
44.06,302.8905
45.01,302.7887
49.77,302.7887
51.19,302.6876
54.05,302.6876
56.90,302.3978
77.87,300.7886
83.11,300.1805
87.86,299.4848
91.20,299.1801
94.06,298.7742
96.91,298.4701
99.77,298.0785
126.91,297.5715
155.95,296.8610
158.80,296.5711
182.13,295.0638
184.99,294.6579
189.76,294.0647
193.08,293.7599
195.94,293.4559
198.79,293.1511
202.14,292.8471
228.81,292.7459
232.16,292.5573
235.01,292.2525
237.87,291.9485
263.11,291.6444
289.77,291.7455
316.91,291.8473
341.66,291.7455
368.81,291.8473
394.03,291.5426
420.70,291.7455
447.85,291.8473
472.60,291.7455
499.75,291.8473
524.97,291.6444
551.64,291.7455
576.87,291.6444
603.54,291.8473
628.77,291.7455
655.91,291.7455
680.69,291.6444
707.81,291.8473
732.59,291.7455
759.71,291.8473
784.49,291.6444
811.61,291.8473
836.38,291.7455
863.53,291.9485
888.75,291.7455
915.43,291.8473
940.65,291.7455
967.32,291.8473
992.55,291.7455
1017.31,291.6444
1044.45,291.7455
1069.20,291.6444
1096.35,291.8473
1121.59,291.7455
1146.35,291.6444
1173.49,291.7455
1198.25,291.6444
1225.39,291.8473
1250.15,291.7455
1275.37,291.6444
1302.51,291.7455
1327.27,291.6444
1354.41,291.8473
1379.17,291.7455
1404.41,291.6444
1431.07,291.7455
1456.31,291.6444
