Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água
413       100.00     650.0          303.5      0.755        1800       213     0
414       100.00     650.0          303.5      0.754        1800       213     0
415       100.00     650.0          303.5      0.754        1800       213     0
416       100.00     650.0          303.5      0.754        1800       213     0
417       100.00     650.0          303.5      0.754        1800       213     0
418       100.00     650.0          303.5      0.754        1800       213     0
419       100.00     650.0          303.5      0.754        1800       213     0
420       100.00     650.0          303.5      0.754        1800       213     0
421       100.00     650.0          303.5      0.753        1800       213     0
422       100.00     650.0          303.5      0.753        1800       213     0
423       100.00     650.0          303.5      0.753        1800       213     0
424       100.00     650.0          303.5      0.753        1800       213     0
425       100.00     650.0          303.5      0.753        1800       213     0
426       100.00     650.0          303.5      0.753        1800       213     0
427       100.00     650.0          303.5      0.753        1800       213     0
428       100.00     650.0          303.5      0.752        1800       213     0
429       100.00     650.0          303.5      0.752        1800       213     0
430       100.00     650.0          303.5      0.752        1800       213     0
431       100.00     650.0          303.5      0.752        1800       213     0
432       100.00     650.0          303.5      0.752        1800       213     0
433       100.00     650.0          303.5      0.752        1800       213     0
434       100.00     650.0          303.5      0.751        1800       213     0
435       100.00     650.0          303.5      0.751        1800       213     0
436       100.00     650.0          303.5      0.751        1800       213     0
437       100.00     650.0          303.5      0.751        1800       213     0
438       100.00     650.0          303.5      0.751        1800       213     0
439       100.00     650.0          303.5      0.751        1800       213     0
440       100.00     650.0          303.5      0.751        1800       213     0
441       100.00     650.0          303.5      0.750        1800       213     0
442       100.00     650.0          303.5      0.750        1800       213     0
443       100.00     650.0          303.5      0.750        1800       213     0
444       100.00     650.0          303.5      0.750        1800       213     0
445       100.00     650.0          303.5      0.750        1800       213     0
446       100.00     650.0          303.5      0.750        1800       213     0
447       100.00     650.0          303.5      0.750        1800       213     0
448       100.00     650.0          303.5      0.749        1800       213     0
449       100.00     650.0          303.5      0.749        1800       213     0
450       100.00     650.0          303.5      0.749        1800       213     0
451       100.00     650.0          303.5      0.749        1800       213     0
452       100.00     650.0          303.5      0.749        1800       213     0
453       100.00     650.0          303.5      0.749        1800       213     0
454       100.00     650.0          303.5      0.749        1800       213     0
455       100.00     650.0          303.5      0.748        1800       213     0
456       100.00     650.0          303.5      0.748        1800       213     0
457       100.00     650.0          303.5      0.748        1800       213     0
458       100.00     650.0          303.5      0.748        1800       213     0
459       100.00     650.0          303.5      0.748        1800       213     0
460       100.00     650.0          303.5      0.748        1800       213     0
461       100.00     650.0          303.5      0.748        1800       213     0
462       100.00     650.0          303.5      0.747        1800       213     0
463       100.00     650.0          303.5      0.747        1800       213     0
464       100.00     650.0          303.5      0.747        1800       213     0
465       100.00     650.0          303.5      0.747        1800       213     0
466       100.00     650.0          303.5      0.747        1800       213     0
467       100.00     650.0          303.5      0.747        1800       213     0
468       100.00     650.0          303.5      0.747        1800       213     0
469       100.00     650.0          303.5      0.746        1800       213     0
470       100.00     650.0          303.5      0.746        1800       213     0
471       100.00     650.0          303.5      0.746        1800       213     0
472       100.00     650.0          303.5      0.746        1800       213     0
473       100.00     650.0          303.5      0.746        1800       213     0
474       100.00     650.0          303.5      0.746        1800       213     0
475       100.00     650.0          303.5      0.746        1800       213     0
476       100.00     650.0          303.5      0.746        1800       213     0
477       100.00     650.0          303.5      0.745        1800       213     0
478       100.00     650.0          303.5      0.745        1800       213     0
479       100.00     650.0          303.5      0.745        1800       213     0
480       100.00     650.0          303.5      0.745        1800       213     0
481       100.00     650.0          303.5      0.745        1800       213     0
482       100.00     650.0          303.5      0.745        1800       213     0
483       100.00     650.0          303.5      0.745        1800       213     0
484       100.00     650.0          303.5      0.744        1800       213     0
485       100.00     650.0          303.5      0.744        1800       213     0
486       100.00     650.0          303.5      0.744        1800       213     0
487       100.00     650.0          303.5      0.744        1800       213     0
488       100.00     650.0          303.5      0.744        1800       213     0
489       100.00     650.0          303.5      0.744        1800       213     0
490       100.00     650.0          303.5      0.744        1800       213     0
491       100.00     650.0          303.5      0.743        1800       213     0
492       100.00     650.0          303.5      0.743        1800       213     0
493       100.00     650.0          303.5      0.743        1800       213     0
494       100.00     650.0          303.5      0.743        1800       213     0
495       100.00     650.0          303.5      0.743        1800       213     0
496       100.00     650.0          303.5      0.743        1800       213     0
497       100.00     650.0          303.5      0.743        1800       213     0
498       100.00     650.0          303.5      0.742        1800       213     0
499       100.00     650.0          303.5      0.742        1800       213     0
500       100.00     650.0          303.5      0.742        1800       213     0
501       100.00     650.0          303.5      0.742        1800       213     0
502       100.00     650.0          303.5      0.742        1800       213     0
503       100.00     650.0          303.5      0.742        1800       213     0
504       100.00     650.0          303.4      0.742        1800       213     0
505       100.00     650.0          303.4      0.742        1800       213     0
506       100.00     650.0          303.4      0.741        1800       213     0
507       100.00     650.0          303.4      0.741        1800       213     0
508       100.00     650.0          303.4      0.741        1800       213     0
509       100.00     650.0          303.4      0.741        1800       213     0
510       100.00     650.0          303.4      0.741        1800       213     0
511       100.00     650.0          303.4      0.741        1800       213     0
512       100.00     650.0          303.4      0.741        1800       213     0
513       100.00     650.0          303.4      0.740        1800       213     0
514       100.00     650.0          303.4      0.740        1800       213     0
515       100.00     650.0          303.4      0.740        1800       213     0
516       100.00     650.0          303.4      0.740        1800       213     0
517       100.00     650.0          303.4      0.740        1800       213     0
518       100.00     650.0          303.4      0.740        1800       213     0
519       100.00     650.0          303.4      0.740        1800       213     0
520       100.00     650.0          303.4      0.739        1800       213     0
521       100.00     650.0          303.4      0.739        1800       213     0
522       100.00     650.0          303.4      0.739        1800       213     0
523       100.00     650.0          303.4      0.739        1800       213     0
524       100.00     650.0          303.4      0.739        1800       213     0
525       100.00     650.0          303.4      0.739        1800       213     0
526       100.00     650.0          303.4      0.739        1800       213     0
527       100.00     650.0          303.4      0.739        1800       213     0
528       100.00     650.0          303.4      0.738        1800       213     0
529       100.00     650.0          303.4      0.738        1800       213     0
530       100.00     650.0          303.4      0.738        1800       213     0
531       100.00     650.0          303.4      0.738        1800       213     0
532       100.00     650.0          303.4      0.738        1800       213     0
533       100.00     650.0          303.4      0.738        1800       213     0
534       100.00     650.0          303.4      0.738        1800       213     0
