Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água


1       100.00     650.0          303.0      0.000        1800       210     0
4       100.00     650.0          303.3      0.154        1800       211     0
7       100.00     650.0          303.5      0.310        1800       212     0
10       100.00     650.0          303.8      0.467        1800       213     0
31       22.70     650.0          299.2      4.972        1815       212     0
38       23.07     650.0          298.0      4.850        1815       208     0
45       23.07     650.0          296.9      4.719        1815       204     0
50       23.07     650.0          296.0      4.618        1815       201     0
55       23.07     650.0          295.1      4.515        1815       198     0
60       23.07     650.0          294.5      4.450        1815       196     0
85       23.08     650.0          294.1      4.454        1815       195     34
132       23.09     150.1          293.6      4.455        1814       194     85
177       23.09     150.1          293.8      4.412        1812       194     200
224       23.10     150.1          293.7      4.313        1811       193     295
271       23.09     150.1          293.6      4.188        1810       192     403
318       23.10     150.1          293.7      4.047        1808       191     521
365       23.10     150.2          293.9      3.908        1806       190     629
412       23.10     150.2          293.9      3.775        1805       189     726
459       23.10     150.1          294.0      3.645        1804       188     823
506       23.10     150.1          294.0      3.540        1803       187     881
553       23.09     150.1          294.1      3.429        1802       186     953
600       23.10     150.1          294.1      3.330        1801       185     1011
647       23.09     150.1          294.1      3.233        1800       184     1071
694       23.09     150.1          294.2      3.138        1800       183     1131
741       23.09     150.1          294.3      3.046        1799       182     1191
766       23.10     150.2          294.1      2.976        1798       181     1232
813       23.09     150.1          294.2      2.887        1797       180     1293
838       23.11     150.2          294.2      2.819        1797       179     1334
885       23.09     150.1          294.3      2.733        1796       178     1396
910       23.11     150.2          294.1      2.666        1795       177     1438
957       23.10     150.2          294.2      2.583        1795       176     1501
1004       23.10     150.1          294.3      2.500        1794       175     1565
1029       23.11     150.2          294.1      2.435        1793       174     1607
1076       23.10     150.2          294.2      2.355        1792       173     1672
1101       23.10     150.2          294.2      2.291        1792       172     1715
1148       23.11     150.2          294.3      2.211        1791       171     1781
1151       23.11     150.2          294.0      2.175        1791       170     1781
1174       23.11     150.2          294.1      2.152        1790       170     1817
1197       23.11     150.2          294.2      2.137        1790       170     1839
1220       23.12     150.2          294.3      2.122        1790       170     1861
1221       23.11     150.2          294.3      2.122        1790       170     1861
1222       23.11     150.2          294.3      2.122        1790       170     1861
1223       23.11     150.2          294.3      2.122        1790       170     1861
1224       23.11     150.2          294.3      2.121        1790       170     1861
1225       23.11     150.2          294.3      2.121        1790       170     1861
1226       23.11     150.2          294.3      2.121        1790       170     1861
1227       23.11     150.2          294.3      2.121        1790       170     1861
1228       23.12     150.2          294.3      2.121        1790       170     1861
1229       23.11     150.2          294.4      2.121        1790       170     1861
1230       23.11     150.2          294.4      2.121        1790       170     1861
1231       23.11     150.2          294.4      2.121        1790       170     1861
1232       23.11     150.2          294.4      2.121        1790       170     1861
1233       23.11     150.2          294.4      2.120        1790       170     1861
1234       23.11     150.2          294.4      2.120        1790       170     1861
1235       23.11     150.2          294.4      2.120        1790       170     1861
1236       23.12     150.2          294.4      2.120        1790       170     1861
1237       23.11     150.2          294.4      2.120        1790       170     1861
1238       23.11     150.2          294.4      2.120        1790       170     1861
1239       23.11     150.2          294.4      2.120        1790       170     1861
