Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água


1       100.00     650.0          303.0      0.000        1800       210     0
4       100.00     650.0          303.3      0.154        1800       211     0
7       100.00     650.0          303.5      0.310        1800       212     0
10       100.00     650.0          303.8      0.467        1800       213     0
15       97.22     631.9          303.8      0.473        1800       213     0
36       87.28     569.0          303.0      0.806        1801       212     0
37       87.06     566.0          303.0      0.807        1801       212     0
38       86.60     562.9          303.0      0.808        1801       212     0
39       86.14     560.1          302.9      0.809        1801       212     0
40       85.68     556.9          302.9      0.810        1801       212     0
41       85.21     554.1          302.9      0.811        1801       212     0
42       84.75     550.9          302.9      0.812        1801       212     0
43       84.29     548.0          302.9      0.813        1801       212     0
44       83.83     545.1          302.9      0.814        1801       212     0
45       83.37     542.1          302.8      0.814        1801       212     0
46       82.90     539.0          302.8      0.815        1801       212     0
47       82.44     536.0          302.8      0.816        1801       212     0
48       81.98     533.1          302.8      0.817        1801       212     0
49       81.52     530.1          302.8      0.818        1801       212     0
50       81.06     527.1          302.8      0.819        1801       212     0
51       80.59     524.1          302.7      0.820        1801       212     0
52       80.13     521.1          302.7      0.821        1801       212     0
53       79.67     518.1          302.7      0.822        1801       212     0
54       79.21     515.1          302.7      0.823        1801       212     0
57       77.79     506.1          302.4      0.699        1801       211     0
78       67.70     443.0          300.8      1.062        1804       209     0
83       65.75     428.0          300.2      0.847        1804       207     0
88       63.42     413.1          299.5      0.637        1804       205     0
91       62.08     404.0          299.2      0.535        1804       204     0
94       60.70     395.1          298.8      0.436        1804       203     0
97       59.30     386.0          298.5      0.338        1804       202     0
100       57.92     377.1          298.1      0.242        1804       201     0
127       44.94     296.1          297.6      0.218        1803       201     19
156       31.61     209.0          296.9      0.109        1803       200     52
159       30.72     200.0          296.6      0.057        1803       199     52
182       19.79     131.1          295.1      0.066        1804       196     52
185       18.72     122.0          294.7      0.033        1804       195     52
190       16.38     107.1          294.1      -0.029        1804       193     52
193       15.03     98.0          293.8      -0.056        1804       192     52
196       13.65     89.1          293.5      -0.082        1804       191     52
199       12.27     80.1          293.2      -0.105        1804       190     52
202       10.89     71.1          292.9      -0.127        1804       189     52
229       4.85     71.1          292.8      -0.139        1804       189     71
232       4.91     31.9          292.6      -0.148        1804       188     71
235       4.91     31.9          292.3      -0.156        1804       187     71
238       4.91     31.9          292.0      -0.164        1804       186     71
263       4.92     32.0          291.7      -0.174        1804       185     90
290       4.92     32.0          291.8      -0.179        1803       185     132
317       4.92     32.0          291.9      -0.183        1803       185     169
342       4.91     31.9          291.8      -0.195        1802       184     201
369       4.92     32.0          291.9      -0.199        1802       184     240
394       4.92     32.0          291.6      -0.211        1801       183     275
421       4.91     31.9          291.8      -0.216        1801       183     319
448       4.91     31.9          291.9      -0.220        1800       183     358
473       4.92     32.0          291.8      -0.231        1800       182     391
500       4.93     32.1          291.9      -0.235        1799       182     430
525       4.94     32.1          291.7      -0.246        1799       181     464
552       4.93     32.1          291.8      -0.251        1798       181     508
577       4.94     32.1          291.7      -0.263        1798       180     545
604       4.93     32.1          291.9      -0.267        1797       180     587
629       4.93     32.0          291.8      -0.278        1796       179     623
656       4.93     32.1          291.8      -0.283        1796       179     664
681       4.93     32.1          291.7      -0.294        1795       178     703
708       4.93     32.0          291.9      -0.299        1795       178     747
733       4.94     32.1          291.8      -0.310        1794       177     784
760       4.94     32.1          291.9      -0.315        1794       177     826
785       4.94     32.1          291.7      -0.326        1793       176     860
812       4.93     32.0          291.9      -0.330        1793       176     905
837       4.93     32.0          291.8      -0.342        1792       175     942
864       4.94     32.1          292.0      -0.346        1792       175     984
889       4.93     32.0          291.8      -0.355        1791       174     1006
916       4.94     32.1          291.9      -0.360        1791       174     1048
941       4.93     32.0          291.8      -0.371        1790       173     1087
968       4.94     32.1          291.9      -0.376        1790       173     1131
993       4.93     32.1          291.8      -0.387        1789       172     1168
1018       4.94     32.1          291.7      -0.399        1789       171     1209
1045       4.93     32.1          291.8      -0.404        1788       171     1255
1070       4.94     32.1          291.7      -0.416        1787       170     1298
1097       4.94     32.1          291.9      -0.421        1787       170     1345
1122       4.93     32.0          291.8      -0.433        1786       169     1383
1147       4.93     32.1          291.7      -0.445        1786       168     1426
1174       4.93     32.0          291.8      -0.450        1785       168     1475
1199       4.93     32.1          291.7      -0.462        1784       167     1518
1226       4.94     32.1          291.9      -0.467        1784       167     1567
1251       4.93     32.0          291.8      -0.479        1783       166     1606
1276       4.93     32.0          291.7      -0.491        1783       165     1651
1303       4.93     32.1          291.8      -0.497        1782       165     1700
1328       4.93     32.1          291.7      -0.509        1781       164     1744
1355       4.94     32.1          291.9      -0.514        1781       164     1794
1380       4.94     32.1          291.8      -0.526        1780       163     1834
1405       4.93     32.1          291.7      -0.538        1779       162     1879
1432       4.93     32.1          291.8      -0.544        1779       162     1929
