Tempo    Pot Rx    Pot Turbina     Tmed   Delta I  Cboro  Banco D  Volume de Água


1       100.00     650.0          303.0      0.000        1800       210     0
4       100.00     650.0          303.3      0.154        1800       211     0
7       100.00     650.0          303.5      0.310        1800       212     0
10       100.00     650.0          303.8      0.467        1800       213     0
31       45.62     650.0          300.3      3.785        1811       212     0
36       46.17     650.0          299.4      3.584        1811       209     0
41       46.16     650.0          298.5      3.376        1811       206     0
46       46.16     650.0          297.6      3.166        1811       203     0
51       46.17     650.0          296.9      3.028        1811       201     0
76       46.19     300.2          296.5      2.958        1810       200     35
123       46.22     300.2          296.1      2.851        1809       199     103
168       46.20     300.3          296.3      2.676        1807       199     253
215       46.21     300.4          296.3      2.446        1806       198     370
238       46.18     300.4          296.4      2.385        1805       198     413
263       46.18     300.2          296.1      2.252        1805       197     451
286       46.18     300.2          296.3      2.181        1804       197     500
309       46.21     300.2          296.5      2.118        1803       197     543
334       46.20     300.3          296.4      1.984        1803       196     580
357       46.21     300.3          296.6      1.923        1802       196     620
382       46.20     300.3          296.4      1.792        1802       195     656
405       46.21     300.3          296.6      1.732        1801       195     697
430       46.19     300.3          296.5      1.603        1801       194     733
455       46.20     300.3          296.4      1.473        1800       193     770
480       46.20     300.3          296.4      1.342        1800       192     810
505       46.19     300.3          296.3      1.209        1799       191     852
528       46.22     300.3          296.5      1.149        1799       191     896
553       46.20     300.3          296.4      1.022        1798       190     935
578       46.20     300.3          296.4      0.895        1798       189     975
603       46.21     300.3          296.4      0.766        1797       188     1018
628       46.20     300.3          296.3      0.636        1796       187     1062
651       46.21     300.4          296.5      0.578        1796       187     1108
674       46.21     300.4          296.7      0.527        1795       187     1147
697       46.21     300.4          296.9      0.500        1795       187     1168
720       46.21     300.4          297.0      0.473        1795       187     1189
721       46.21     300.4          297.0      0.473        1795       187     1189
722       46.21     300.3          297.0      0.473        1795       187     1189
723       46.21     300.3          297.0      0.473        1795       187     1189
724       46.21     300.3          297.0      0.473        1795       187     1189
725       46.21     300.3          297.0      0.472        1795       187     1189
726       46.21     300.4          297.0      0.472        1795       187     1189
727       46.22     300.4          297.0      0.472        1795       187     1189
728       46.21     300.4          297.0      0.472        1795       187     1189
729       46.21     300.3          297.0      0.472        1795       187     1189
730       46.21     300.3          297.0      0.472        1795       187     1189
731       46.21     300.4          297.0      0.472        1795       187     1189
732       46.21     300.4          297.1      0.472        1795       187     1189
733       46.21     300.4          297.1      0.472        1795       187     1189
734       46.21     300.3          297.1      0.472        1795       187     1189
735       46.21     300.3          297.1      0.472        1795       187     1189
736       46.21     300.3          297.1      0.472        1795       187     1189
737       46.21     300.3          297.1      0.472        1795       187     1189
738       46.21     300.4          297.1      0.472        1795       187     1189
739       46.22     300.4          297.1      0.472        1795       187     1189
740       46.21     300.4          297.1      0.472        1795       187     1189
741       46.21     300.3          297.1      0.472        1795       187     1189
742       46.21     300.3          297.1      0.471        1795       187     1189
743       46.21     300.4          297.1      0.471        1795       187     1189
744       46.21     300.4          297.1      0.471        1795       187     1189
745       46.21     300.4          297.1      0.471        1795       187     1189
746       46.22     300.4          297.1      0.471        1795       187     1189
747       46.21     300.4          297.1      0.471        1795       187     1189
